id,id_partido,id_persona,id_titular,minutos
1,1,290,1,96
2,1,297,1,96
3,1,299,1,96
4,1,313,1,71
5,1,307,1,96
6,1,338,1,80
7,1,312,1,96
8,1,296,1,96
9,1,315,1,96
10,1,320,1,96
11,1,311,1,86
12,1,294,2,0
13,1,316,2,0
15,1,309,2,0
16,1,317,2,0
17,1,301,2,0
18,1,336,2,0
19,1,292,2,25
20,1,316,2,10
21,1,2,1,96
23,1,361,1,96
24,1,12,1,96
25,1,7,1,81
26,1,21,1,96
27,1,23,1,96
28,1,304,1,96
29,1,26,1,59
30,1,28,1,71
31,1,31,1,96
32,1,8,2,0
34,1,11,2,0
35,1,1,2,0
36,1,20,2,37
38,1,16,2,0
39,1,377,2,15
41,2,228,1,94
42,2,235,1,94
43,2,234,1,94
44,2,238,1,94
45,2,241,1,94
46,2,243,1,94
47,2,244,1,94
48,2,249,1,70
49,2,255,1,94
50,2,251,1,75
51,2,245,1,75
52,2,247,2,0
53,2,510,2,19
54,2,184,2,0
55,2,242,2,0
56,2,248,2,24
57,2,252,2,0
58,2,476,2,0
59,2,494,2,0
61,2,479,1,94
62,2,482,1,94
63,2,487,1,94
64,2,485,1,94
65,2,489,1,94
66,2,480,1,94
67,2,494,1,94
68,2,498,1,45
69,2,491,1,70
70,2,497,1,94
71,2,499,1,77
72,2,495,2,0
73,2,501,2,0
74,2,82,2,49
75,2,496,2,0
76,2,717,2,0
77,2,85,2,0
78,2,504,2,17
79,2,490,2,0
81,3,655,1,98
82,3,667,1,98
83,3,669,1,98
84,3,686,1,98
85,3,669,1,98
86,3,661,1,98
87,3,683,1,69
88,3,674,1,79
89,3,682,1,98
90,3,690,1,98
91,3,687,1,66
92,3,701,2,0
93,3,667,2,0
94,3,656,2,0
95,3,678,2,0
96,3,686,2,19
97,3,716,2,29
98,3,709,2,32
99,3,666,2,0
101,3,185,1,98
102,3,196,1,98
103,3,195,1,98
104,3,199,1,45
105,3,189,1,98
106,3,47,1,72
107,3,213,1,98
108,3,212,1,98
109,3,472,1,98
110,3,519,1,98
111,3,206,1,60
112,3,201,2,0
113,3,215,2,53
114,3,221,2,0
116,3,717,2,0
117,3,539,2,38
118,3,240,2,0
119,3,226,2,26
120,3,194,2,0
121,4,388,1,94
122,4,393,1,94
123,4,396,1,94
124,4,397,1,94
125,4,392,1,94
126,4,401,1,85
127,4,407,1,94
128,4,405,1,79
129,4,403,1,94
130,4,410,1,70
131,4,413,1,94
132,4,104,2,0
133,4,627,2,0
134,4,389,2,0
135,4,395,2,0
136,4,325,2,0
137,4,747,2,0
138,4,412,2,9
139,4,400,2,15
140,4,408,2,24
141,4,352,1,94
142,4,356,1,94
143,4,655,1,94
144,4,363,1,72
145,4,366,1,94
146,4,360,1,94
147,4,364,1,94
148,4,673,1,45
149,4,383,1,76
150,4,372,1,94
151,4,381,1,94
152,4,353,2,0
153,4,377,2,0
154,4,548,2,0
155,4,371,2,18
156,4,385,2,0
157,4,370,2,49
158,4,348,2,0
160,4,373,2,22
161,5,567,1,93
162,5,572,1,93
163,5,575,1,93
164,5,68,1,93
165,5,584,1,93
166,5,579,1,93
167,5,569,1,86
168,5,570,1,67
169,5,591,1,93
170,5,586,1,82
171,5,585,1,93
172,5,578,2,0
173,5,582,2,11
174,5,590,2,0
175,5,565,2,0
176,5,571,2,0
178,5,573,2,26
179,5,588,2,0
180,5,576,2,0
181,5,625,1,93
182,5,524,1,93
183,5,641,1,93
184,5,633,1,93
185,5,637,1,93
186,5,642,1,93
187,5,645,1,76
188,5,646,1,57
189,5,648,1,93
190,5,651,1,57
191,5,654,1,93
192,5,632,2,0
193,5,629,2,0
194,5,244,2,0
195,5,530,2,0
196,5,717,2,17
197,5,597,2,36
198,5,624,2,0
199,5,717,2,0
200,5,650,2,36
201,6,127,1,94
202,6,132,1,94
203,6,131,1,94
204,6,129,1,94
205,6,128,1,94
206,6,173,1,83
207,6,141,1,94
208,6,136,1,94
209,6,149,1,94
210,6,147,1,89
211,6,647,1,70
212,6,151,2,24
213,6,134,2,11
214,6,1,2,0
215,6,139,2,0
216,6,753,2,0
217,6,140,2,0
218,6,718,2,0
219,6,133,2,0
220,6,150,2,5
221,6,447,1,94
222,6,451,1,94
223,6,452,1,94
224,6,445,1,83
225,6,278,1,94
226,6,466,1,79
227,6,469,1,94
228,6,461,1,94
229,6,476,1,80
230,6,427,1,94
231,6,471,1,94
232,6,460,2,15
233,6,448,2,0
234,6,454,2,0
235,6,457,2,0
236,6,456,2,0
237,6,458,2,0
238,6,468,2,14
239,6,445,2,0
240,6,465,2,11
241,7,154,1,94
242,7,166,1,94
243,7,157,1,94
244,7,167,1,94
245,7,165,1,94
246,7,175,1,62
247,7,177,1,94
248,7,179,1,94
249,7,183,1,94
250,7,169,1,72
251,7,182,1,62
252,7,168,2,0
253,7,437,2,0
254,7,433,2,32
256,7,181,2,22
257,7,156,2,0
258,7,170,2,0
259,7,424,2,0
260,7,455,2,32
261,7,602,1,94
262,7,98,1,94
263,7,115,1,94
264,7,100,1,91
265,7,110,1,66
266,7,111,1,94
267,7,102,1,94
268,7,99,1,94
269,7,121,1,94
271,7,644,1,86
272,7,93,2,0
273,7,103,2,0
274,7,105,2,0
275,7,108,2,28
276,7,107,2,0
277,7,96,2,0
278,7,523,2,0
280,7,117,2,3
281,8,33,1,92
282,8,43,1,92
283,8,40,1,92
284,8,42,1,92
285,8,36,1,92
286,8,581,1,92
287,8,53,1,92
288,8,588,1,92
289,8,60,1,77
290,8,579,1,77
291,8,48,1,86
292,8,554,2,0
293,8,50,2,6
294,8,52,2,0
295,8,59,2,15
296,8,52,2,0
297,8,564,2,15
298,8,45,2,0
299,8,45,2,0
300,8,490,2,0
301,8,290,1,92
302,8,301,1,92
303,8,296,1,92
304,8,299,1,92
305,8,293,1,92
306,8,311,1,92
307,8,310,1,83
308,8,312,1,61
309,8,316,1,61
310,8,317,1,92
311,8,320,1,92
312,8,294,2,0
313,8,304,2,31
315,8,292,2,0
316,8,315,2,31
317,8,232,2,9
318,8,318,2,0
319,8,319,2,0
320,8,213,2,0
321,9,552,1,95
322,9,541,1,95
323,9,539,1,95
324,9,542,1,84
325,9,557,1,95
326,9,556,1,95
327,9,559,1,70
328,9,548,1,95
329,9,552,1,95
330,9,563,1,95
331,9,564,1,85
332,9,43,2,0
334,9,537,2,0
335,9,546,2,0
336,9,562,2,0
337,9,551,2,25
338,9,543,2,0
339,9,560,2,10
340,9,555,2,11
341,9,414,1,95
342,9,431,1,95
343,9,426,1,95
344,9,425,1,95
345,9,424,1,95
346,9,440,1,88
347,9,438,1,95
348,9,437,1,95
349,9,439,1,93
350,9,433,1,95
351,9,441,1,90
352,9,436,2,0
354,9,435,2,0
355,9,428,2,7
356,9,593,2,0
357,9,444,2,5
358,9,427,2,0
359,9,429,2,2
360,9,422,2,0
361,10,261,1,96
362,10,274,1,96
363,10,270,1,96
364,10,268,1,96
365,10,271,1,83
366,10,59,1,96
367,10,272,1,96
368,10,276,1,90
369,10,285,1,96
370,10,284,1,77
371,10,287,1,96
372,10,288,2,0
373,10,138,2,0
374,10,157,2,6
375,10,278,2,19
376,10,281,2,0
377,10,267,2,13
379,10,266,2,0
380,10,280,2,0
381,10,321,1,96
382,10,325,1,96
383,10,327,1,96
384,10,332,1,79
385,10,326,1,96
386,10,336,1,96
387,10,207,1,96
388,10,342,1,96
390,10,350,1,70
391,10,349,1,79
392,10,335,2,17
393,10,348,2,26
394,10,330,2,0
395,10,323,2,0
396,10,337,2,0
397,10,345,2,0
398,10,333,2,0
399,10,334,2,0
400,10,339,2,17
401,11,290,1,95
402,11,301,1,95
403,11,296,1,95
404,11,299,1,92
405,11,293,1,95
406,11,308,1,95
407,11,310,1,81
408,11,232,1,95
409,11,316,1,81
410,11,317,1,95
411,11,320,1,95
412,11,305,2,14
413,11,294,2,3
414,11,309,2,0
415,11,292,2,0
416,11,289,2,0
417,11,315,2,14
418,11,213,2,0
419,11,318,2,0
420,11,298,2,0
421,11,388,1,95
422,11,393,1,95
423,11,396,1,95
424,11,397,1,95
425,11,392,1,95
426,11,401,1,95
427,11,400,1,95
428,11,405,1,95
429,11,403,1,79
430,11,408,1,95
431,11,413,1,75
432,11,747,2,0
433,11,325,2,0
434,11,395,2,16
435,11,410,2,20
436,11,297,2,0
437,11,389,2,0
438,11,104,2,0
439,11,386,2,0
440,11,627,2,0
441,12,625,1,95
442,12,524,1,95
443,12,597,1,95
444,12,633,1,95
445,12,637,1,95
446,12,646,1,68
447,12,521,1,95
448,12,654,1,95
449,12,642,1,95
450,12,650,1,95
451,12,641,1,95
452,12,648,2,27
453,12,635,2,0
454,12,651,2,0
455,12,624,2,0
456,12,273,2,0
457,12,632,2,0
458,12,645,2,0
459,12,717,2,0
460,12,290,1,95
461,12,297,1,95
462,12,299,1,95
463,12,313,1,95
464,12,307,1,87
465,12,312,1,95
466,12,296,1,95
467,12,315,1,95
468,12,311,1,77
469,12,338,1,70
470,12,320,1,95
471,12,316,2,18
472,12,301,2,0
473,12,292,2,0
474,12,246,2,0
475,12,317,2,25
477,12,336,2,0
478,12,316,2,0
479,12,294,2,0
480,12,479,1,95
481,13,487,1,95
482,13,489,1,95
483,13,480,1,95
484,13,494,1,60
485,13,491,1,95
486,13,497,1,95
487,13,482,1,95
488,13,82,1,60
489,13,495,1,95
490,13,499,1,95
491,13,496,2,35
492,13,490,2,0
493,13,717,2,0
494,13,504,2,35
495,13,85,2,0
496,13,498,2,0
497,13,483,2,0
498,13,717,2,0
500,13,127,1,95
501,13,132,1,95
502,13,128,1,95
503,13,136,1,95
504,13,151,1,75
505,13,129,1,95
506,13,147,1,95
507,13,149,1,90
508,13,134,1,95
509,13,141,1,95
510,13,173,1,83
511,13,131,2,0
512,13,133,2,0
513,13,753,2,0
514,13,647,2,20
515,13,1,2,0
516,13,139,2,0
517,13,140,2,12
520,13,47,1,86
521,14,206,1,97
522,14,185,1,97
523,14,189,1,97
524,14,195,1,97
525,14,196,1,97
526,14,212,1,97
527,14,215,1,97
528,14,519,1,97
529,14,213,1,88
530,14,472,1,91
532,14,194,2,0
533,14,199,2,0
534,14,213,2,0
535,14,221,2,6
536,14,240,2,9
538,14,717,2,11
539,14,201,2,0
540,14,22,1,90
541,14,552,1,97
542,14,543,1,97
543,14,541,1,78
544,14,546,1,97
545,14,557,1,97
546,14,556,1,97
547,14,552,1,45
548,14,548,1,97
549,14,563,1,97
550,14,564,1,97
551,14,43,2,0
552,14,537,2,0
553,14,560,2,19
554,14,539,2,0
555,14,555,2,52
556,14,542,2,0
557,14,562,2,0
558,14,551,2,7
560,14,207,1,75
561,15,321,1,93
562,15,327,1,93
563,15,334,1,93
564,15,342,1,69
565,15,345,1,93
566,15,330,1,93
567,15,337,1,93
568,15,326,1,93
569,15,348,1,93
571,15,325,2,0
572,15,335,2,0
573,15,336,2,0
574,15,350,2,32
575,15,349,2,18
576,15,323,2,0
577,15,332,2,0
578,15,340,2,0
579,15,344,2,24
580,15,33,1,93
581,15,36,1,93
582,15,40,1,93
583,15,48,1,93
584,15,53,1,45
585,15,60,1,77
586,15,43,1,93
587,15,588,1,93
588,15,581,1,93
589,15,579,1,93
590,15,42,1,45
591,15,52,2,48
592,15,59,2,0
593,15,554,2,0
594,15,564,2,16
595,15,490,2,0
596,15,50,2,0
597,15,45,2,48
598,15,52,2,0
599,15,46,2,0
600,15,655,1,94
601,16,364,1,94
602,16,372,1,94
603,16,371,1,94
604,16,383,1,72
605,16,352,1,94
606,16,356,1,94
607,16,360,1,94
608,16,370,1,80
609,16,366,1,94
610,16,381,1,45
611,16,348,2,0
612,16,353,2,0
613,16,363,2,0
614,16,373,2,14
616,16,385,2,0
617,16,548,2,0
618,16,673,2,22
619,16,659,2,0
620,16,661,1,65
621,16,674,1,94
622,16,687,1,94
623,16,667,1,94
624,16,655,1,94
625,16,690,1,94
626,16,678,1,45
627,16,682,1,78
628,16,669,1,94
629,16,669,1,94
630,16,686,1,94
631,16,656,2,0
632,16,725,2,29
633,16,709,2,49
634,16,666,2,0
636,16,686,2,16
637,16,701,2,0
638,16,689,2,0
639,16,667,2,0
640,16,447,1,96
641,17,451,1,96
642,17,452,1,96
643,17,445,1,79
644,17,278,1,96
645,17,469,1,96
646,17,466,1,96
647,17,461,1,70
648,17,476,1,45
649,17,427,1,96
650,17,471,1,96
651,17,473,2,0
652,17,454,2,0
653,17,457,2,17
654,17,460,2,26
655,17,448,2,51
656,17,456,2,0
657,17,468,2,0
658,17,445,2,0
659,17,465,2,0
660,17,228,1,96
661,17,235,1,96
662,17,234,1,96
663,17,238,1,96
664,17,241,1,96
665,17,243,1,96
666,17,248,1,86
667,17,244,1,76
669,17,251,1,96
670,17,255,1,96
671,17,245,2,0
672,17,246,2,10
673,17,476,2,0
674,17,249,2,20
675,17,252,2,0
676,17,247,2,0
677,17,510,2,37
678,17,184,2,0
679,17,396,2,0
680,17,602,1,94
681,18,98,1,94
682,18,115,1,84
683,18,100,1,94
684,18,110,1,72
685,18,111,1,94
686,18,102,1,94
687,18,105,1,94
688,18,121,1,94
690,18,644,1,84
691,18,103,2,0
692,18,108,2,22
693,18,93,2,0
694,18,523,2,0
696,18,107,2,0
697,18,117,2,10
698,18,99,2,0
699,18,96,2,10
700,18,261,1,94
701,18,274,1,94
702,18,270,1,94
703,18,268,1,94
704,18,271,1,94
